Title,Media URL,Pinterest board,Miniaturansicht,Beschreibung,Link,Publish date,Keywords
Metropolitan Cathedral - Timiș | Plizio Visual Lab,https://plizio.com/geo-images/romania/metropolitan-cathedral.webp,Plizio EN - Romania,,Orthodox cathedral in Timișoara.,https://plizio.com/en/romania/ro-tm/metropolitan-cathedral/,,
Romanian National Opera Timișoara - Timiș | Plizio Visual Lab,https://plizio.com/geo-images/romania/cultura-opera-timisoara.webp,Plizio EN - Romania,,Prestigious cultural institution in Banat.,https://plizio.com/en/romania/ro-tm/romanian-national-opera-timisoara/,,
Timișoara - Timiș | Plizio Visual Lab,https://plizio.com/geo-images/romania/city-timisoara.webp,Plizio EN - Romania,,"Timișoara, often called 'Little Vienna', is a multicultural metropolis in western Romania. The city is located in the Banat Plain and is famous for its Baroque…",https://plizio.com/en/romania/ro-tm/timisoara/,,
Timișoara National Opera - Timiș | Plizio Visual Lab,https://plizio.com/geo-images/romania/timisoara-opera.webp,Plizio EN - Romania,,A major cultural institution in Timișoara.,https://plizio.com/en/romania/ro-tm/timisoara-national-opera/,,
Unirii Square Timișoara - Timiș | Plizio Visual Lab,https://plizio.com/geo-images/romania/timisoara-unirii.webp,Plizio EN - Romania,,"The oldest square in Timișoara, in Baroque style.",https://plizio.com/en/romania/ro-tm/unirii-square-timisoara/,,
Alexandria - Teleorman | Plizio Visual Lab,https://plizio.com/geo-images/romania/alexandria.webp,Plizio EN - Romania,,County capital on the Vedea river.,https://plizio.com/en/romania/ro-tr/alexandria/,,
Troianu Forest - Teleorman | Plizio Visual Lab,https://plizio.com/geo-images/romania/troianu-forest.webp,Plizio EN - Romania,,Nature reserve for wild peonies.,https://plizio.com/en/romania/ro-tr/troianu-forest/,,
Turnu Fortress Ruins - Teleorman | Plizio Visual Lab,https://plizio.com/geo-images/romania/turnu-fortress-ruins.webp,Plizio EN - Romania,,Ruins of an ancient Roman and medieval fortress.,https://plizio.com/en/romania/ro-tr/turnu-fortress-ruins/,,
Cozia Monastery - Vâlcea | Plizio Visual Lab,https://plizio.com/geo-images/romania/hist-cozia.webp,Plizio EN - Romania,,"Medieval monastery on the banks of the Olt, founded by Mircea the Elder.",https://plizio.com/en/romania/ro-vl/cozia-monastery/,,
Cozia National Park - Vâlcea | Plizio Visual Lab,https://plizio.com/geo-images/romania/cozia-np.webp,Plizio EN - Romania,,Protected area in the Southern Carpathians.,https://plizio.com/en/romania/ro-vl/cozia-national-park/,,
Cozia Monastery - Vâlcea (Ro Vl) | Plizio Visual Lab,https://plizio.com/geo-images/romania/ro-poi-manastirea-cozia.webp,Plizio EN - Romania,,Medieval monastery on the Olt river.,https://plizio.com/en/romania/ro-vl/historical-cozia-monastery/,,
Horezu Monastery - Vâlcea | Plizio Visual Lab,https://plizio.com/geo-images/romania/hist-horezu.webp,Plizio EN - Romania,,"Brâncovenesc-style monastery, UNESCO site.",https://plizio.com/en/romania/ro-vl/horezu-monastery/,,
Ocnele Mari Salt Mine - Vâlcea | Plizio Visual Lab,https://plizio.com/geo-images/romania/ocnele-mari-salt-mine.webp,Plizio EN - Romania,,Large tourist salt mine.,https://plizio.com/en/romania/ro-vl/ocnele-mari-salt-mine/,,
Focșani - Vrancea | Plizio Visual Lab,https://plizio.com/geo-images/romania/focsani.webp,Plizio EN - Romania,,County capital in the historical region of Moldavia.,https://plizio.com/en/romania/ro-vn/focsani/,,
Mărășești Mausoleum - Vrancea | Plizio Visual Lab,https://plizio.com/geo-images/romania/marasesti-mausoleum.webp,Plizio EN - Romania,,Monument dedicated to the heroes of World War I.,https://plizio.com/en/romania/ro-vn/marasesti-mausoleum/,,
Putna-Vrancea Natural Park - Vrancea | Plizio Visual Lab,https://plizio.com/geo-images/romania/putna-vrancea-natural-park.webp,Plizio EN - Romania,,Protected area with waterfalls and forests.,https://plizio.com/en/romania/ro-vn/putna-vrancea-natural-park/,,
Princely Court of Vaslui - Vaslui | Plizio Visual Lab,https://plizio.com/geo-images/romania/princely-court-of-vaslui.webp,Plizio EN - Romania,,Former residence of the Moldavian rulers.,https://plizio.com/en/romania/ro-vs/princely-court-of-vaslui/,,
Stephen the Great County Museum - Vaslui | Plizio Visual Lab,https://plizio.com/geo-images/romania/stephen-the-great-county-museum.webp,Plizio EN - Romania,,Museum of history and archeology.,https://plizio.com/en/romania/ro-vs/stephen-the-great-county-museum/,,
Vaslui - Vaslui | Plizio Visual Lab,https://plizio.com/geo-images/romania/vaslui.webp,Plizio EN - Romania,,Capital of Vaslui county.,https://plizio.com/en/romania/ro-vs/vaslui/,,
